,Customer Name,cust mail id,Feedback,Date and time,caretaker/server name,care-empid,cust-age,cust-contact,sentiment - future,dept,customer-stay duration,customer-n visits past,customer-membership status,customer-amt to be paid,NPS,Dining - Vegetarian/vegan,Room preference,"Sports activities - [table tennis, golf, ...]","Wellness - gym, sauna, massage",pricing patterns - frugal/luxury
0,Anna Ramirez,nathan18@example.net,"beautiful accomodations stayed hotel santa maria novella night wished stayed entirety days florence simply gorgeous accomodations, room stayed cheapest rate available assuming simplest abode offer beautiful hardwood floors bed linens comfortable mattress difficult italy drapes fantastic marble bathroom, nicer expecting especially price, location not central 10-minute walk sights close train station away noise bustle busier locations, close upscale shopping lots trattorias, nice oasis hectic sightseeing florence highly recommed hotel hotels higher ranked website,  ",2024-10-19 17:07,John Garner,EMP793,29,(733)462-4879x69814,Positive,Engineering,2,3,Active,$417,5,Vegan,Standard,Swimming,Gym,Luxury
1,Ricky Caldwell,millercharlene@example.net,"great hotel great location hotel located la rambla city centre close access shops tour buses.the room immaculate 42 plasma screen screen bathroom.there nice blue ambient lighting room good amenities.the bathroom large equipped.concierge staff overall friendly helpful recommended lot restaurants night spots visit absolutely wonderful.there business centre use free open 24 hours.the thing disliked face in-room safe bit small did not fit laptop.i definitely recommend hotel,  ",2024-11-03 03:27,Sean Foster,EMP891,46,+1-859-864-1384,Neutral,Sales,3,2,Active,$301,7,Vegan,Deluxe,Swimming,Sauna,Frugal
2,Richard Ford,jonesjason@example.com,"beautiful hotel great location like beautifully appointed room furniture linens lighting wo n't disappointed, stayed nights oct. 2004. got idea hotel faced sea does gothic quarter does n't, room sea view great room small window faces light, no views gothic quarter quite disappointed, room lovely dark faced light, smaller expected gorgeous attention furniture linens lighting bath amenities, location nice just steps away gothic quarter ramblas free use hotel internet connection great checking email,  ",2024-10-10 20:48,Jennifer Best,EMP752,54,2486232501,Negative,Support,16,0,Active,$323,8,Non-Vegetarian,Deluxe,Table tennis,Gym,Frugal
3,Maria Lopez,amandacampbell@example.net,"great deal waikiki trip hawaii outrigger luana great hotel/condo, booked city view kitchenette, kitchen amenities ask, nice pool cabanas sun gets, barbeque area feel like getting fresh fish market highly recommended, staff friendly accommodating allowing access garage shower room 8 hours checked, 18/day parking little steep want explore life waikiki great hotel beginning main strip, tour desk not open probably went season desk touch tour desks outriggers waikiki happy make arrangements, beach minute walk away pay upwards 100/night right beach,  ",2024-12-28 19:24,Robert Dawson,EMP480,59,001-627-820-2848,Positive,HR,6,4,Active,$186,9,Vegetarian,Deluxe,Badminton,Sauna,Luxury
4,Christopher Anderson,karen57@example.org,"choose airport hotel busy triparound australia arrived place rudest receptionist, corridors room looked like bombsite no warning room mid decoration.very expensive room service no mini bar.laundry crazy prices.no air gym.room key failed 6 times.airport shuttle driver 2 near misses dropped wrong terminal,  ",2024-10-16 12:54,Chelsea Huff,EMP492,42,834-575-1134,Negative,HR,29,4,Active,$115,8,Vegetarian,Standard,Golf,Sauna,Luxury
5,David White,jbrown@example.com,"best hotel stayed picked hotel casablanca based recommendations tripadvisor not disappointed, location good staff extremely friendly helpful rooms reasonable size clean equipped peaceful spite bustling location breakfast delicious continental better normally come expect term, best feeling tranquility busy day town return oasis calm enjoy delicious hazelnut coffee buns head room freshen coming later cheese prosecco sound piano music background.ok n't exactly cheap, new york, stayed expensive luxury hotels felt mightily ripped, not time- definitely casablanca,  ",2024-04-26 07:54,Stephen Cruz,EMP628,52,821.585.8894,Negative,Engineering,7,7,Inactive,$132,1,Vegan,Standard,Swimming,Gym,Luxury
6,Shelby Mendez,sarah27@example.net,"returning just returned staying property business trip, used outstanding service premier hotels hong kong mandarin oriental impressed cream crop, normally stay ritz carlton imminent closing jan 31 opted stay refurbished mandarin, rooms particularly outstanding service attention detail/customer satisfaction reproach, returning hong kong months vacation just canceled reservation seasons re-booked instead mandarin, impressive venue,  ",2024-10-10 17:47,Sandra Beck,EMP269,35,932-905-3496x229,Negative,HR,28,0,Inactive,$474,6,Vegan,Suite,Badminton,Massage,Frugal
7,Krystal Graham,ujohnson@example.org,"perfect choice perfect location hotel not choice booked website nh caransa just opposite square switched schiller.we lucky.. upgraded stayed renewed room floor quiet large confort need.the location hotel perfect city center looking quiet place better choose different place rembrandtplain restaurants bars intense night life staff kind 3 nights fantastic.enjoy amsterdam,  ",2024-03-27 16:00,Bethany Wilson,EMP581,65,001-629-897-1061x88390,Neutral,Engineering,9,5,Inactive,$223,10,Non-Vegetarian,Standard,Table tennis,Gym,Frugal
8,Christina Williams,sandra53@example.org,"fantastic, just returned home weekend intercontinental berlin felt need write immediate review, absolutely loved hotel nothing didn t like, vitality club fantastic really good facilities thoroughly enjoyed afternoon swim sauna, food la cafe excellent particularly chinese food, room lovely beds extremely comfortable, hotel great location close main thorougfares able sightseeing tour city, definitely recommend hotel looking special weekend berlin, definitely book hotel,  ",2024-09-24 17:38,Stacy Velez,EMP056,41,818-782-6790,Negative,Sales,23,8,Active,$147,9,Vegetarian,Suite,Golf,Sauna,Frugal
9,Pamela Holt,jay60@example.com,"just, harbour plaza 10 nights holiday trip.the hotel beautiful lobby not really big impressive.concierge ceck-in valet service best.the food restaurant fantastic, stayed superior room garden wiev big really clean furnished, size rooms not usual size chinese hotel room, big beds comfortables, housekeeping helpful efficent, entire hotel really really clean, inside bathroom ok cleanliness furniture shower complimentary bath set, floor 21.st floor deck pool not big faboulous wiev magnificent victoria harbour, food served pool bar fine maybe little bit expensive, pool wall glass able open eyes water unbelievable skyline hong kong, fitness center equipped breathtaking wiev pool, waiting, harbour plaza,  ",2024-12-28 21:25,Joanne Brock,EMP000,53,001-206-798-6698x558,Neutral,Sales,21,5,Inactive,$413,2,Vegetarian,Standard,Table tennis,Sauna,Luxury
