Customer Name,cust mail id,Feedback,Date and time,caretaker/server name,care-empid,cust-age,cust-contact,sentiment - future,dept,customer-stay duration,customer-n visits past,customer-membership status,customer-amt to be paid,NPS,Dining - Vegetarian/vegan,Room preference,"Sports activities - [table tennis, golf, ...]","Wellness - gym, sauna, massage",pricing patterns - frugal/luxury
Brian Chen Jr.,nsantana@example.com,"The dining experience was absolutely amazing! The staff were friendly, the food was served hot, and the flavors were exceptional. I loved the vegan options, and the dessert was a highlight of the evening.",09-11-2024 08:35,Virginia Boyle,EMP771,28,001-536-728-5190x266,Positive,Finance,23,9,Active,$379,7,Vegan,Suite,Swimming,Massage,Luxury
George Hall,qmiller@example.com,"A very underwhelming experience. The food lacked flavor, the ambiance was dull, and the table was not clean when we arrived.",10-07-2024 20:21,Jeffrey Edwards,EMP547,27,(509)612-9106x2428,Neutral,Sales,29,0,Active,$210,8,Non-Vegetarian,Standard,Swimming,Sauna,Luxury
Dr. Andrew Mayer,kimberlyruiz@example.net,"Exceptional service! The waitstaff was attentive, refilled our drinks without us asking, and even recommended some stellar dishes. The atmosphere was lively yet relaxing, perfect for a family dinner.",16-08-2024 19:22,Gregory Winters,EMP788,42,304-251-7286x02320,Positive,Support,7,9,Active,$395,6,Vegetarian,Deluxe,Badminton,Massage,Frugal
Misty Christian,oscar86@example.org,"The restaurant failed to meet basic expectations. The staff seemed inattentive, and the dishes lacked seasoning. We had to wait over 40 minutes for our food.",01-08-2024 20:56,Audrey Miles,EMP265,67,(628)277-2072,Positive,Sales,11,6,Inactive,$203,3,Vegan,Standard,Table tennis,Sauna,Luxury
Ashley Hall,robertlopez@example.net,"The restaurant exceeded our expectations. The food presentation was artistic, the ingredients were fresh, and the flavors were spot on. We will definitely return soon!",08-04-2024 22:05,Jeremy Morris,EMP041,30,5784882023,Neutral,Finance,30,1,Inactive,$390,6,Vegan,Suite,Badminton,Massage,Luxury
Bradley Smith,carolswanson@example.net,"I had high hopes for this restaurant, but it was a letdown. The chicken was undercooked, and the service was rude. Definitely not worth the price.",28-05-2024 10:07,Craig Hoffman,EMP880,62,768-674-9583,Negative,HR,21,8,Active,$71,8,Non-Vegetarian,Deluxe,Swimming,Gym,Luxury
Mr. Sean Anderson,heather86@example.org,"A mixed experience. The appetizers were fantastic, but the main course lacked flavor. The service was slow, but the staff did apologize for the delay.",19-11-2024 18:30,Anita Watson,EMP183,40,(825)516-3880x46909,Positive,Engineering,30,8,Inactive,$279,2,Vegetarian,Suite,Table tennis,Massage,Frugal
Jonathan Clarke,greenecraig@example.net,"I had high hopes for this restaurant, but it was a letdown. The chicken was undercooked, and the service was rude. Definitely not worth the price.",08-12-2024 06:18,Kristen Santos,EMP566,45,(718)850-1751x89519,Neutral,Finance,29,0,Active,$392,10,Non-Vegetarian,Standard,Badminton,Gym,Luxury
Dylan Vargas,karen82@example.org,"The restaurant exceeded our expectations. The food presentation was artistic, the ingredients were fresh, and the flavors were spot on. We will definitely return soon!",14-08-2024 09:54,Michelle Bishop,EMP934,68,+1-819-557-1136x791,Neutral,Engineering,15,3,Inactive,$232,8,Non-Vegetarian,Suite,Golf,Gym,Luxury
Jennifer Cortez,smithkimberly@example.org,"Exceptional service! The waitstaff was attentive, refilled our drinks without us asking, and even recommended some stellar dishes. The atmosphere was lively yet relaxing, perfect for a family dinner.",30-11-2024 02:44,Ruth Clark,EMP149,48,+1-673-374-9277x548,Positive,Engineering,21,4,Inactive,$197,3,Vegan,Deluxe,Swimming,Massage,Frugal
